Mã MH,Tên môn học,Số tín chỉ,Tổng tiết,Lý thuyết,Thực hành,Kỹ thuật,Phân tích,Thiết kế,Kỹ năng nhóm
BAS1201,Đại số,3,90,36,0,,,,
BAS1203,Giải tích 1,3,90,36,0,,,,
INT1154,Tin học cơ sở 1,2,60,20,4,,,,
BAS1204,Giải tích 2,3,90,36,0,,,,
BAS1224,Vật lý 1 và thí nghiệm,4,120,42,8,,,,
BAS1226,Xác suất thống kê,2,60,24,0,,,,
INT1155,Tin học cơ sở 2,2,60,20,4,,,,
BAS1122,Tư tưởng Hồ Chí Minh,2,60,24,0,,,,
BAS1227,Vật lý 3 và thí nghiệm,4,120,36,4,,,,
ELE1433,Kỹ thuật số,2,60,24,2,,,,
INT1339,Ngôn ngữ lập trình C++,3,90,30,8,,,,
INT1358,Toán rời rạc 1,3,90,36,0,,,,
ELE1319,Lý thuyết thông tin,3,90,36,0,,,,
ELE1330,Xử lý tín hiệu số,2,60,24,0,,,,
INT1306,Cấu trúc dữ liệu và giải thuật,3,90,32,4,,,,
INT13145,Kiến trúc máy tính,3,45,36,0,,,,
INT1359-3,Toán rời rạc 2,3,45,36,0,,,,
SKD1101,Kỹ năng thuyết trình,1,30,6,0,,,,
INT1313,Cơ sở dữ liệu,3,90,32,4,,,,
INT13162,Lập trình với Python,3,45,30,6,,,,
INT1319,Hệ điều hành,3,90,34,3,,,,
INT1332,Lập trình hướng đối tượng,3,45,30,6,,,,
INT1336,Mạng máy tính,3,90,34,3,,,,
SKD1102,Kỹ năng làm việc nhóm,1,15,6,,,,,
INT1303,An toàn và bảo mật hệ thống thông tin,3,90,32,2,,,,
INT13147,Thực tập cơ sở,3,45,4,,,,,
INT1340,Nhập môn công nghệ phần mềm,3,45,36,0,,,,
INT1341,Nhập môn trí tuệ nhân tạo,3,90,36,0,,,,
INT14148,Cơ sở dữ liệu phân tán,3,45,36,,,,,
INT1434-3,Lập trình Web,3,135,30,6,,,,
SKD1103,Kỹ năng tạo lập Văn bản,1,15,6,,,,,
