Ma MH,Ten mon hoc,So tin chi,Tong tiet,Ly thuyet,Thuc hanh,Ky thuat,Phan tich,Thiet ke,Ky nang nhom
BAS1201,Dai so,3,90,36,0,,,,
BAS1203,Giai tich 1,3,90,36,0,,,,
INT1154,Tin hoc co so 1,2,60,20,4,,,,
BAS1204,Giai tich 2,3,90,36,0,,,,
BAS1224,Vat ly 1 va thi nghiem,4,120,42,8,,,,
BAS1226,Xac suat thong ke,2,60,24,0,,,,
INT1155,Tin hoc co so 2,2,60,20,4,,,,
BAS1122,Tu tuong Ho Chi Minh,2,60,24,0,,,,
BAS1227,Vat ly 3 va thi nghiem,4,120,36,4,,,,
ELE1433,Ky thuat so,2,60,24,2,,,,
INT1339,Ngon ngu lap trinh C++,3,90,30,8,,,,
INT1358,Toan roi rac 1,3,90,36,0,,,,
ELE1319,Ly thuyet thong tin,3,90,36,0,,,,
ELE1330,Xu ly tin hieu so,2,60,24,0,,,,
INT1306,Cau truc du lieu va giai thuat,3,90,32,4,,,,
INT13145,Kien truc may tinh,3,45,36,0,,,,
INT1359-3,Toan roi rac 2,3,45,36,0,,,,
SKD1101,Ky nang thuyet trinh,1,30,6,0,,,,
INT1313,Co so du lieu,3,90,32,4,,,,
INT13162,Lap trinh voi Python,3,45,30,6,,,,
INT1319,He dieu hanh,3,90,34,3,,,,
INT1332,Lap trinh huong doi tuong,3,45,30,6,,,,
INT1336,Mang may tinh,3,90,34,3,,,,
SKD1102,Ky nang lam viec nhom,1,15,6,,,,,
INT1303,An toan va bao mat he thong thong tin,3,90,32,2,,,,
INT13147,Thuc tap co so,3,45,4,,,,,
INT1340,Nhap mon cong nghe phan mem,3,45,36,0,,,,
INT1341,Nhap mon tri tue nhan tao,3,90,36,0,,,,
INT14148,Co so du lieu phan tan,3,45,36,,,,,
INT1434-3,Lap trinh Web,3,135,30,6,,,,
SKD1103,Ky nang tao lap Van ban,1,15,6,,,,,
